time_Ma,temperature_C,X_total,X_comp_1,X_comp_2
73.0,83.8,0.4000503055505119,1.0,8.384258418651541e-05
74.0,84.4,0.4000571467026501,1.0,9.524450441673594e-05
75.0,85.0,0.4000648907755605,1.0,0.00010815129260085186
76.0,85.6,0.40007365329218425,1.0,0.00012275548697368723
77.0,86.19999999999999,0.40008356408351453,1.0,0.00013927347252415647
78.0,86.8,0.40009476900112223,1.0,0.00015794833520372034
79.0,87.4,0.40010743182728814,1.0,0.0001790530454802408
80.0,88.0,0.40012173640464077,1.0,0.000202894007734568
81.0,88.6,0.40013788900951175,1.0,0.00022981501585291574
82.0,89.19999999999999,0.40015612099576336,1.0,0.00026020165960560294
83.0,89.8,0.4001766917386335,1.0,0.00029448623105585365
84.0,90.4,0.4001998919112083,1.0,0.0003331531853471132
85.0,91.0,0.40022604712948723,1.0,0.00037674521581201566
86.0,91.6,0.4002555220056827,1.0,0.00042587000947110843
87.0,92.19999999999999,0.40028872465341225,1.0,0.00048120775568706684
88.0,92.8,0.4003261116928327,1.0,0.0005435194880545301
89.0,93.4,0.4003681938085494,1.0,0.0006136563475822365
90.0,94.0,0.40041554191834555,1.0,0.0006925698639092253
91.0,94.6,0.4004687940164421,1.0,0.0007813233607367949
92.0,95.19999999999999,0.4005286627611391,1.0,0.0008811046018983969
93.0,95.8,0.4005959438833446,1.0,0.0009932398055742082
94.0,96.4,0.40067152549967544,1.0,0.001119209166125653
95.0,97.0,0.40075639842154726,1.0,0.0012606640359120638
96.0,97.6,0.40085166755996965,1.0,0.0014194459332826665
97.0,98.19999999999999,0.4009585645346362,1.0,0.001597607557726918
98.0,98.8,0.4010784616053481,1.0,0.0017974360089134402
99.0,99.4,0.4012128870538184,1.0,0.002021478423030605
100.0,100.0,0.40136354215444686,1.0,0.0022725702574114366
101.0,100.6,0.4015323198836788,1.0,0.0025538664727979598
102.0,101.19999999999999,0.4017213255289888,1.0,0.0028688758816480067
103.0,101.8,0.40193289937025595,1.0,0.0032214989504265293
104.0,102.4,0.4021696416181602,1.0,0.0036160693636003247
105.0,103.0,0.4024344398060372,1.0,0.004057399676728625
106.0,103.6,0.40273049884309814,1.0,0.004550831405163573
107.0,104.2,0.40306137394771774,1.0,0.005102289912862889
108.0,104.8,0.4034310066891567,1.0,0.00571834448192785
109.0,105.39999999999999,0.40384376437406283,1.0,0.006406273956771361
110.0,106.0,0.4043044830196665,1.0,0.007174138366110785
111.0,106.6,0.40481851415787773,1.0,0.00803085692979619
112.0,107.2,0.4053917757124034,1.0,0.008986292854005675
113.0,107.8,0.4060308071831964,1.0,0.010051345305327256
114.0,108.39999999999999,0.40674282935738093,1.0,0.011238048928968174
115.0,109.0,0.40753580874127926,1.0,0.01255968123546538
116.0,109.6,0.4084185268718833,1.0,0.014030878119805495
117.0,110.2,0.4094006546151883,1.0,0.015667757691980505
118.0,110.8,0.4104928314897728,1.0,0.017488052482954566
119.0,111.39999999999999,0.4117067499627825,1.0,0.019511249937970807
120.0,112.0,0.413055244547222,1.0,0.021758740912036598
121.0,112.6,0.4145523853785201,1.0,0.024253975630866825
122.0,113.2,0.4162135757581581,1.0,0.027022626263596767
123.0,113.8,0.4180556529151615,1.0,0.030092754858602452
124.0,114.39999999999999,0.4200969909438666,1.0,0.03349498490644429
125.0,115.0,0.42235760451888715,1.0,0.037262674198145204
126.0,115.6,0.4248592515549102,1.0,0.041432085924850356
127.0,116.2,0.4276255324581745,1.0,0.04604255409695746
128.0,116.8,0.4306819829958604,1.0,0.05113663832643401
129.0,117.39999999999999,0.4340561570764575,1.0,0.05676026179409581
130.0,118.0,0.4377776948760573,1.0,0.06296282479342873
131.0,118.6,0.44187837075123676,1.0,0.06979728458539453
132.0,119.2,0.4463921142400121,1.0,0.07732019040002008
133.0,119.8,0.4513549961637856,1.0,0.085591660272976
134.0,120.39999999999999,0.4568051704075099,1.0,0.09467528401251649
135.0,121.0,0.4627827603845424,1.0,0.10463793397423733
136.0,121.6,0.469329677512947,1.0,0.1155494625215783
137.0,122.2,0.4764893572865676,1.0,0.1274822621442793
138.0,122.8,0.484306396787884,1.0,0.14051066131314
139.0,123.39999999999999,0.49282607586450045,1.0,0.154710126440834
140.0,124.0,0.5020937428232747,1.0,0.17015623803879118
141.0,124.6,0.5121540445836956,1.0,0.18692340763949275
142.0,125.2,0.5230499810355852,1.0,0.20508330172597533
143.0,125.8,0.5348217641981056,1.0,0.22470294033017585
144.0,126.39999999999999,0.5475054650898361,1.0,0.24584244181639353
145.0,127.0,0.5611314354890482,1.0,0.26855239248174695
146.0,127.6,0.5757224985636069,1.0,0.2928708309393448
147.0,128.2,0.5912919123172075,1.0,0.3188198538620124
148.0,128.8,0.6078411235948545,1.0,0.3464018726580909
149.0,129.39999999999998,0.6253573486418678,1.0,0.3755955810697797
150.0,130.0,0.6438110394114205,1.0,0.4063517323523674
151.0,130.6,0.6631533231885296,1.0,0.4385888719808826
152.0,131.2,0.6833135364054087,1.0,0.4721892273423478
153.0,131.8,0.7041970108229374,1.0,0.5069950180382291
154.0,132.39999999999998,0.7256833096126845,1.0,0.5428055160211407
155.0,133.0,0.747625149054715,1.0,0.579375248424525
156.0,133.6,0.769848273728392,1.0,0.6164137895473201
157.0,134.2,0.7921525725728926,1.0,0.653587620954821
158.0,134.8,0.8143147215869004,1.0,0.6905245359781674
159.0,135.39999999999998,0.8360926063394588,1.0,0.7268210105657646
160.0,136.0,0.857231703458328,1.0,0.7620528390972133
161.0,136.6,0.877473475532559,1.0,0.7957891258875983
162.0,137.2,0.8965656527047827,1.0,0.827609421174638
163.0,137.8,0.9142740379059339,1.0,0.8571233965098898
164.0,138.39999999999998,0.9303951934025697,1.0,0.8839919890042829
165.0,139.0,0.9447690710569283,1.0,0.9079484517615473
166.0,139.6,0.9572903816624012,1.0,0.9288173027706688
167.0,140.2,0.9679173206901268,1.0,0.9465288678168781
168.0,140.8,0.9766762501053621,1.0,0.9611270835089368
169.0,141.39999999999998,0.9836611473179493,1.0,0.9727685788632489
170.0,142.0,0.9890271180995758,1.0,0.981711863499293
171.0,142.6,0.9929780260579759,1.0,0.9882967100966266
172.0,143.2,0.995749237986431,1.0,0.9929153966440516
173.0,143.8,0.9975874558876883,1.0,0.9959790931461471
174.0,144.39999999999998,0.998730363134644,1.0,0.99788393855774
175.0,145.0,0.9993890926327824,1.0,0.9989818210546374
176.0,145.6,0.999736134317866,1.0,0.9995602238631099
177.0,146.2,0.9999002141487212,1.0,0.9998336902478687
178.0,146.8,0.9999681181025162,1.0,0.9999468635041937
179.0,147.39999999999998,0.9999918543652994,1.0,0.9999864239421655
180.0,148.0,0.9999984875784139,1.0,0.9999974792973566
181.0,148.6,0.9999998343438414,1.0,0.9999997239064023
182.0,149.2,0.9999999956074791,1.0,0.9999999926791318
183.0,149.8,1.0,1.0,1.0
184.0,150.39999999999998,1.0,1.0,1.0
185.0,151.0,1.0,1.0,1.0
186.0,151.6,1.0,1.0,1.0
187.0,152.2,1.0,1.0,1.0
188.0,152.8,1.0,1.0,1.0
189.0,153.39999999999998,1.0,1.0,1.0
190.0,154.0,1.0,1.0,1.0
191.0,154.6,1.0,1.0,1.0
192.0,155.2,1.0,1.0,1.0
193.0,155.8,1.0,1.0,1.0
194.0,156.39999999999998,1.0,1.0,1.0
195.0,157.0,1.0,1.0,1.0
196.0,157.6,1.0,1.0,1.0
197.0,158.2,1.0,1.0,1.0
198.0,158.8,1.0,1.0,1.0
199.0,159.39999999999998,1.0,1.0,1.0
200.0,160.0,1.0,1.0,1.0
